date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:10	218350/218350	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/%e0%a4%b2%e0%a4%b5%20%e0%a4%b6%e0%a4%be%e0%a4%af%e0%a4%b0%e0%a5%80	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/%e0%a4%b2%e0%a4%b5%20%e0%a4%b6%e0%a4%be%e0%a4%af%e0%a4%b0%e0%a5%80.html	(from https://www.shubhamz.in/)
21:07:11	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2013%20Jul%202024%2020:07:08%20GMT	https://www.blogger.com/go/report-abuse	C:/My%20Web%20Sites/adsweb/www.blogger.com/go/report-abuse.42.delayed	(from https://www.shubhamz.in/)
21:07:12	183277/183277	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/sad%20%20shayari?&max-results=5	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/sad%20%20shayarid224.html	(from https://www.shubhamz.in/)
21:07:12	192105/192105	U--M--	200	updated ('OK')	text/javascript	etag:149732146294711431	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5794907021804201&host=ca-host-pub-1556223355139109	C:/My%20Web%20Sites/adsweb/pagead2.googlesyndication.com/pagead/js/f122e.txt	(from https://www.shubhamz.in/)
21:07:12	229045/229045	U--MC-	200	updated ('OK')	application/javascript	date:Sat,%2013%20Jul%202024%2018:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=G-346516195	C:/My%20Web%20Sites/adsweb/www.googletagmanager.com/gtag/js5a98	(from https://www.shubhamz.in/)
21:07:14	183572/183572	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/Attitude%20shayari	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/Attitude%20shayari.html	(from https://www.shubhamz.in/)
21:07:16	187606/187606	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/motivational	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/motivational.html	(from https://www.shubhamz.in/)
21:07:17	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Jul%202024%2020:07:14%20GMT	https://blogger.com/report?authuser	C:/My%20Web%20Sites/adsweb/blogger.com/report.43fd93.delayed	(from https://www.shubhamz.in/)
21:07:18	201415/201415	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/2lane%20shayari	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/2lane%20shayari.html	(from https://www.shubhamz.in/)
21:07:18	206280/206280	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/Bewafa%20shayari	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/Bewafa%20shayari.html	(from https://www.shubhamz.in/)
21:07:18	219443/219443	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search.html	(from https://www.shubhamz.in/)
21:07:19	200443/200443	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/06/150karan-gautam-shayari-collection.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/06/150karan-gautam-shayari-collection.html	(from https://www.shubhamz.in/)
21:07:21	3725/3725	U-----	200	untouched ('')	image/png	etag:%22v76c%22	https://4.bp.blogspot.com/-O3EpVMWcoKw/WxY6-6I4--I/AAAAAAAAB2s/KzC0FqUQtkMdw7VzT6oOR_8vbZO6EJc-ACK4BGAYYCw/w680/nth.png	C:/My%20Web%20Sites/adsweb/4.bp.blogspot.com/-O3EpVMWcoKw/WxY6-6I4--I/AAAAAAAAB2s/KzC0FqUQtkMdw7VzT6oOR_8vbZO6EJc-ACK4BGAYYCw/w680/nth.png	(from https://www.shubhamz.in/)
21:07:22	197108/197108	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/05/blog-post.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/05/blog-post.html	(from https://www.shubhamz.in/)
21:07:23	192710/192710	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/05/%20%20%20.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/05/%20%20%20.html	(from https://www.shubhamz.in/)
21:07:24	189874/189874	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/05/hindi-love-shayari-part-2-latest-love.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/05/hindi-love-shayari-part-2-latest-love.html	(from https://www.shubhamz.in/)
21:07:24	189681/189681	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/03/blog-post.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/03/blog-post.html	(from https://www.shubhamz.in/)
21:07:25	189946/189946	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/02/blog-post.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/02/blog-post.html	(from https://www.shubhamz.in/)
21:07:26	202665/202665	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/12/hindi-love-shayari-latest-love-shayari.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/12/hindi-love-shayari-latest-love-shayari.html	(from https://www.shubhamz.in/)
21:07:28	184825/184825	U-----	200	untouched ('')	image/png	etag:%22v128%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg6b7FnVqd5eMuiRTZqFhaoSx5DS17GoG8g4zkQ3v_xuSKLDOztZ24czW5HCHaz_MEbq9aXMO9vIZqk5ESjY-D8uvIUEgOTiox0-ayyWbdqfYTpQjoiMslJYx_zRoLHvNhr9NIfsX4D2OkMHql-BuMrEOKAD7CiB3y4VeZYzAC4y2QiV_fnNb7X_zUlMOtK/w680/Orange%20Modern%20Minimal%20Blog%20Writing%20YouTube%20Thumbnail%20(1).png	C:/My%20Web%20Sites/adsweb/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg6b7FnVqd5eMuiRTZqFhaoSx5DS17GoG8g4zkQ3v_/w680/Orange%20Modern%20Minimal%20Blog%20Writing%20YouTube%20Thumbnail%20(1).png	(from https://www.shubhamz.in/)
21:08:50	187175/187175	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/05/%20%20%20%20%20%20.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/05/%20%20%20%20%20%20.html	(from https://www.shubhamz.in/)
21:08:52	194293/194293	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/%e0%a4%b2%e0%a4%b5%20%e0%a4%b6%e0%a4%be%e0%a4%af%e0%a4%b0%e0%a5%80?&max-results=9	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/%e0%a4%b2%e0%a4%b5%20%e0%a4%b6%e0%a4%be%e0%a4%af%e0%a4%b0%e0%a5%80657f.html	(from https://www.shubhamz.in/)
21:08:54	56452/56452	U-----	200	untouched ('')	image/jpeg	etag:%22vb5%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj3i9mHFYX2VCADmdIyDAnw8cimmblIyxCDwwHRfqsqUozPG96dynDX3qfbD-YcyV4Cjk-9WavpNCY0uNog4acedK5C1H2r5bLnHACjrWympdwCENslBattzGnqoOXWFI8GvnKGqDUYJpUgfCXdRWRMLmbS3l8v8M_nl9CSk7mL1bYnRjZyxU9YWcolBQ/w640/20230518_070855.jpg	C:/My%20Web%20Sites/adsweb/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj3i9mHFYX2VCADmdIyDAnw8cimmblIyxCDwwHRfqs/w640/20230518_070855.jpg	(from https://www.shubhamz.in/)
21:08:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Jul%202024%2020:08:48%20GMT	https://facebook.com/pikitemplates	C:/My%20Web%20Sites/adsweb/facebook.com/pikitemplates.4f.delayed	(from https://www.shubhamz.in/)
21:08:58	190651/190651	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/search/label/2lane%20shayari?&max-results=9	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/search/label/2lane%20shayari657f.html	(from https://www.shubhamz.in/)
21:09:28	174110/174110	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/06/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/06/index.html	(from https://www.shubhamz.in/)
21:09:28	173801/173801	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/03/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/03/index.html	(from https://www.shubhamz.in/)
21:09:31	174707/174707	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/02/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/02/index.html	(from https://www.shubhamz.in/)
21:09:38	177281/177281	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2024/05/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2024/05/index.html	(from https://www.shubhamz.in/)
21:09:59	174877/174877	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/12/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/12/index.html	(from https://www.shubhamz.in/)
21:09:59	178229/178229	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/11/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/11/index.html	(from https://www.shubhamz.in/)
21:10:18	180374/180374	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/10/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/10/index.html	(from https://www.shubhamz.in/)
21:10:37	178877/178877	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/09/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/09/index.html	(from https://www.shubhamz.in/)
21:10:37	178036/178036	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/07/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/07/index.html	(from https://www.shubhamz.in/)
21:10:38	176616/176616	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/08/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/08/index.html	(from https://www.shubhamz.in/)
21:10:45	192944/192944	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/03/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/03/index.html	(from https://www.shubhamz.in/)
21:10:46	180966/180966	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/02/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/02/index.html	(from https://www.shubhamz.in/)
21:10:47	204485/204485	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/05/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/05/index.html	(from https://www.shubhamz.in/)
21:10:48	187660/187660	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2022/12/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2022/12/index.html	(from https://www.shubhamz.in/)
21:10:49	175445/175445	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/01/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/01/index.html	(from https://www.shubhamz.in/)
21:10:50	197543/197543	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2022/11/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2022/11/index.html	(from https://www.shubhamz.in/)
21:10:52	178517/178517	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2023/04/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2023/04/index.html	(from https://www.shubhamz.in/)
21:10:52	174502/174502	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2022/10/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2022/10/index.html	(from https://www.shubhamz.in/)
21:11:17	176375/176375	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2022/09/	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2022/09/index.html	(from https://www.shubhamz.in/)
21:11:18	175427/175427	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/p/disclaimer.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/p/disclaimer.html	(from https://www.shubhamz.in/)
21:11:19	236745/236745	U-----	200	untouched ('OK')	text/html	date:Wed,%2020%20Mar%202024%2007:18:55%20GMT	https://newsplus-templatesyard.blogspot.com/p/about.html	C:/My%20Web%20Sites/adsweb/newsplus-templatesyard.blogspot.com/p/about.html	(from https://www.shubhamz.in/)
21:11:21	10188/10188	U--MCZ	200	updated ('OK')	application/atom+xml	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/sitemap.xml	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/sitemap.xml	(from https://www.shubhamz.in/)
21:11:21	181242/181242	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/p/privacy-policy.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/p/privacy-policy.html	(from https://www.shubhamz.in/)
21:11:22	183993/183993	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/p/terms-condition.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/p/terms-condition.html	(from https://www.shubhamz.in/)
21:11:24	227/227	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Jul%202024%2020:11:20%20GMT	https://pikitemplates.com/	C:/My%20Web%20Sites/adsweb/pikitemplates.com/index.html	(from https://www.shubhamz.in/)
21:11:26	200992/200992	U-----	200	untouched ('OK')	text/html	date:Sat,%2029%20Jun%202024%2021:16:24%20GMT	https://www.shubhamz.in/2022/12/%20%20%20%20%20%20%20%20.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/2022/12/%20%20%20%20%20%20%20%20.html	(from https://www.shubhamz.in/)
21:11:27	92643/92643	U-----	200	untouched ('')	image/jpeg	etag:%22ve5%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg9JhBQ7rToI2tmPcQWyMTIxtLmw9SQcwfwZs3C5XXZXsxOCbhiwdfleQJvQHZxAXHR20l_X-RsYI9fQ-FxtOF0eYoH8yftpQkFymKNjG7miqdgzMonY-4JYaFzL2GYvd6jstp5cKMwIQi8w_wh9gr2ZFZkh5K9D_DeIgKqAfBEDYkko9i63f4ArvfOzKgH/w680/20230629_230256.jpg	C:/My%20Web%20Sites/adsweb/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg9JhBQ7rToI2tmPcQWyMTIxtLmw9SQcwfwZs3C5XX/w680/20230629_230256.jpg	(from https://www.shubhamz.in/)
21:11:29	169498/169498	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Jul%202024%2020:11:22%20GMT	https://www.shubhamz.in/p/about-us.html	C:/My%20Web%20Sites/adsweb/www.shubhamz.in/p/about-us.61.delayed	(from https://www.shubhamz.in/)
